debug72AAFS:debugFEI2EG,1,1604094438712,"{""action"": ""FinishInstructions"", ""indexOf"": 0, ""viewTime"": 1280, ""phase"": ""INSTRUCTIONS"", ""template"": ""instruct-1.html""}"
debug72AAFS:debugFEI2EG,2,1604094438721,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debug72AAFS:debugFEI2EG,3,1604094443100,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debug72AAFS:debugFEI2EG,4,1604094443109,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debug72AAFS:debugFEI2EG,5,1604094444475,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debug72AAFS:debugFEI2EG,6,1604094455215,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debug72AAFS:debugFEI2EG,7,1604094458443,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debug72AAFS:debugFEI2EG,8,1604094485541,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""]}"
debug72AAFS:debugFEI2EG,9,1604094486706,"{""action"": ""FinishInstructions"", ""indexOf"": 0, ""viewTime"": 1160, ""phase"": ""INSTRUCTIONS"", ""template"": ""instruct-1.html""}"
debug72AAFS:debugFEI2EG,10,1604094486718,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debug72AAFS:debugFEI2EG,11,1604094491497,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debug72AAFS:debugFEI2EG,12,1604094491503,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debug72AAFS:debugFEI2EG,13,1604094493362,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debug72AAFS:debugFEI2EG,14,1604094504091,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debug72AAFS:debugFEI2EG,15,1604094504787,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debug72AAFS:debugFEI2EG,16,1604094509186,"{""phase"": ""intro_video"", ""status"": ""submit""}"
debug72AAFS:debugFEI2EG,17,1604094560787,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""]}"
debug72AAFS:debugFEI2EG,18,1604094562721,"{""action"": ""FinishInstructions"", ""indexOf"": 0, ""viewTime"": 1930, ""phase"": ""INSTRUCTIONS"", ""template"": ""instruct-1.html""}"
debug72AAFS:debugFEI2EG,19,1604094562730,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debug72AAFS:debugFEI2EG,20,1604094571705,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debug72AAFS:debugFEI2EG,21,1604094571716,"{""phase"": ""vidcheck"", ""status"": ""begin""}"
debug72AAFS:debugFEI2EG,22,1604094573129,"{""phase"": ""vidcheck"", ""status"": ""play/pause clicked: 0""}"
debug72AAFS:debugFEI2EG,23,1604094583860,"{""phase"": ""vidcheck"", ""status"": ""video ended""}"
debug72AAFS:debugFEI2EG,24,1604094585093,"{""phase"": ""vidcheck"", ""status"": ""submit""}"
debug72AAFS:debugFEI2EG,25,1604094648436,"{""phase"": ""intro_video"", ""status"": ""submit""}"
debug72AAFS:debugFEI2EG,26,1604094679361,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debug72AAFS:debugFEI2EG,27,1604094680750,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1384, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugTBFE6W:debug0L2ZML,0,1604094826876,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
debugTBFE6W:debug0L2ZML,1,1604094828184,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1305, ""action"": ""FinishInstructions"", ""template"": ""instruct-1.html""}"
debugTBFE6W:debug0L2ZML,2,1604094828194,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debugTBFE6W:debug0L2ZML,3,1604094835070,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debug7ASHR3:debug10VFUI,0,1604599834475,"{""action"": ""Begin"", ""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""]}"
debug7ASHR3:debug10VFUI,1,1604599838705,"{""action"": ""FinishInstructions"", ""indexOf"": 0, ""viewTime"": 4227, ""phase"": ""INSTRUCTIONS"", ""template"": ""instruct-1.html""}"
debug7ASHR3:debug10VFUI,2,1604599838715,"{""phase"": ""demoquestionnaire"", ""status"": ""begin""}"
debug7ASHR3:debug10VFUI,3,1604599871922,"{""phase"": ""demoquestionnaire"", ""status"": ""submit""}"
debug7ASHR3:debug10VFUI,4,1604600187135,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instruct-1.html""], ""action"": ""Begin""}"
